id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
308,town,southeast,1-10,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,11,4,1,4,2,2.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3,0.89405684754522
309,rural,southeast,11-100,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no students,most or all students,none,none,none,none,no students,no students,3,1,1,1,0,-5.23385012919897,-1.9405684754522,-0.143841515934539,-1.9052540913006,-1.24418604651163,0.5,-1.60594315245478
310,city,west,100+,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,few students,no students,9,3,0,4,2,0.766149870801034,0.0594315245478034,-1.14384151593454,1.0947459086994,0.755813953488372,2.5,0.39405684754522
311,city,southeast,11-100,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,few students,10,4,0,4,2,1.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,0.755813953488372,3,0.89405684754522
312,town,central,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,none,none,none,all languages,no students,no students,5,3,0,1,1,-3.23385012919897,0.0594315245478034,-1.14384151593454,-1.9052540913006,-0.244186046511628,2,-0.10594315245478
313,suburb,southeast,100+,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,no students,11,3,2,4,2,2.76614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.755813953488372,2.5,0.39405684754522
314,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,few students,all languages,all languages,all languages,all languages,few students,few students,11,3,0,4,4,2.76614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,2.75581395348837,2,-0.10594315245478
315,town,southeast,11-100,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,no students,7,3,1,2,1,-1.23385012919897,0.0594315245478034,-0.143841515934539,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
316,city,west,100+,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
317,town,southeast,1-10,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,some languages,no students,no students,5.5,1,1,2,1.5,-2.73385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,0.255813953488372,0.5,-1.60594315245478
318,town,southeast,1-10,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
319,town,southeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
320,suburb,central,100+,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,all languages,all languages,no students,few students,11.5,4,2,3,2.5,3.26614987080103,1.0594315245478,0.856158484065461,0.0947459086993971,1.25581395348837,2.5,0.39405684754522
321,suburb,northeast,100+,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,some students,most or all students,some languages,some languages,some languages,some languages,some students,most or all students,11,4,1,4,2,2.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3,0.89405684754522
322,town,west,11-100,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,few students,few students,,,,,,,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
323,suburb,southeast,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,8,2,0,4,2,-0.233850129198967,-0.940568475452197,-1.14384151593454,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
324,city,west,100+,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,most or all students,most or all students,,,,,,,11,4,3,4,0,2.76614987080103,1.0594315245478,1.85615848406546,1.0947459086994,-1.24418604651163,3.5,1.39405684754522
325,rural,southeast,1-10,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no students,most or all students,some languages,none,some languages,some languages,no students,some students,9.5,3,2,3,1.5,1.26614987080103,0.0594315245478034,0.856158484065461,0.0947459086993971,0.255813953488372,2.5,0.39405684754522
326,suburb,northeast,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,4,1,0,2,1,-4.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
327,suburb,southeast,11-100,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,some students,,,,,,,8,3,1,4,0,-0.233850129198967,0.0594315245478034,-0.143841515934539,1.0947459086994,-1.24418604651163,2,-0.10594315245478
328,town,central,1-10,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,all languages,no students,no students,10,2,0,4,4,1.76614987080103,-0.940568475452197,-1.14384151593454,1.0947459086994,2.75581395348837,1.5,-0.60594315245478
329,city,northeast,100+,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,some students,some students,some languages,none,some languages,some languages,some students,some students,12.5,5,3,3,1.5,4.26614987080103,2.0594315245478,1.85615848406546,0.0947459086993971,0.255813953488372,4,1.89405684754522
330,city,southeast,11-100,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,few students,few students,none,none,none,all languages,few students,few students,9,4,2,2,1,0.766149870801034,1.0594315245478,0.856158484065461,-0.905254091300603,-0.244186046511628,2.5,0.39405684754522
331,town,west,1-10,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,none,no students,no students,7.5,3,2,2,0.5,-0.733850129198967,0.0594315245478034,0.856158484065461,-0.905254091300603,-0.744186046511628,2.5,0.39405684754522
332,suburb,central,1-10,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,no students,5,1,1,2,1,-3.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
333,rural,west,1-10,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,few students,few students,,,,,,,4,1,1,2,0,-4.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
334,city,northeast,100+,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,some students,some students,some languages,some languages,all languages,all languages,some students,some students,11,3,1,4,3,2.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,1.75581395348837,2,-0.10594315245478
335,suburb,southeast,100+,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,some students,some students,some languages,some languages,all languages,all languages,some students,some students,9,3,1,2,3,0.766149870801034,0.0594315245478034,-0.143841515934539,-0.905254091300603,1.75581395348837,2,-0.10594315245478
336,rural,central,1-10,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
337,town,west,100+,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,some students,some students,some languages,none,none,all languages,no students,no students,9.5,4,1,3,1.5,1.26614987080103,1.0594315245478,-0.143841515934539,0.0947459086993971,0.255813953488372,3.5,1.39405684754522
338,town,west,11-100,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,few students,some students,none,none,none,none,no students,no students,6,3,1,2,0,-2.23385012919897,0.0594315245478034,-0.143841515934539,-0.905254091300603,-1.24418604651163,2,-0.10594315245478
339,city,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,all languages,no students,few students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
340,suburb,northeast,11-100,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,8,3,2,2,1,-0.233850129198967,0.0594315245478034,0.856158484065461,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
341,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,some students,most or all students,some languages,none,some languages,some languages,no students,no students,8.5,3,1,3,1.5,0.266149870801033,0.0594315245478034,-0.143841515934539,0.0947459086993971,0.255813953488372,2,-0.10594315245478
342,suburb,northeast,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,3.5,1,0,1,1.5,-4.73385012919897,-1.9405684754522,-1.14384151593454,-1.9052540913006,0.255813953488372,1,-1.10594315245478
343,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,12,5,1,4,2,3.76614987080103,2.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3.5,1.39405684754522
344,suburb,central,11-100,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,some students,8,4,1,2,1,-0.233850129198967,1.0594315245478,-0.143841515934539,-0.905254091300603,-0.244186046511628,3,0.89405684754522
345,rural,west,1-10,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,few students,few students,,,,,,,4,2,2,0,0,-4.23385012919897,-0.940568475452197,0.856158484065461,-2.9052540913006,-1.24418604651163,1,-1.10594315245478
346,town,west,1-10,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,few students,no students,all languages,all languages,all languages,all languages,no students,no students,16,5,3,4,4,7.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,2.75581395348837,4,1.89405684754522
347,suburb,west,100+,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no students,some students,none,none,some languages,all languages,no students,no students,10.5,4,1,4,1.5,2.26614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,0.255813953488372,3,0.89405684754522
348,city,southeast,100+,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no students,most or all students,some languages,none,some languages,some languages,no students,no students,12.5,3,4,4,1.5,4.26614987080103,0.0594315245478034,2.85615848406546,1.0947459086994,0.255813953488372,2.5,0.39405684754522
349,suburb,southeast,100+,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,few students,10,3,1,4,2,1.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,0.755813953488372,2.5,0.39405684754522
350,city,west,100+,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,9,3,2,2,2,0.766149870801034,0.0594315245478034,0.856158484065461,-0.905254091300603,0.755813953488372,2,-0.10594315245478
351,city,southeast,100+,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,few students,12,4,2,4,2,3.76614987080103,1.0594315245478,0.856158484065461,1.0947459086994,0.755813953488372,2.5,0.39405684754522
352,town,west,11-100,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,few students,few students,none,none,none,none,few students,few students,7,4,0,3,0,-1.23385012919897,1.0594315245478,-1.14384151593454,0.0947459086993971,-1.24418604651163,3,0.89405684754522
353,rural,southeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,some languages,some languages,no students,few students,6,3,0,2,1,-2.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
354,suburb,west,100+,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,9,4,0,4,1,0.766149870801034,1.0594315245478,-1.14384151593454,1.0947459086994,-0.244186046511628,3,0.89405684754522
355,rural,southeast,11-100,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1,-1.10594315245478
356,rural,west,11-100,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no students,some students,none,none,none,none,no students,no students,6,3,0,3,0,-2.23385012919897,0.0594315245478034,-1.14384151593454,0.0947459086993971,-1.24418604651163,2.5,0.39405684754522
357,suburb,central,100+,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,none,none,none,all languages,no students,no students,6,2,0,3,1,-2.23385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
358,city,southeast,100+,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,none,all languages,all languages,no students,no students,10.5,2,2,4,2.5,2.26614987080103,-0.940568475452197,0.856158484065461,1.0947459086994,1.25581395348837,1.5,-0.60594315245478
359,suburb,southeast,100+,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,few students,few students,some languages,none,all languages,all languages,few students,few students,12.5,4,2,4,2.5,4.26614987080103,1.0594315245478,0.856158484065461,1.0947459086994,1.25581395348837,3,0.89405684754522
360,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,some languages,no students,no students,6.5,3,0,2,1.5,-1.73385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.255813953488372,2,-0.10594315245478
361,suburb,west,100+,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,some students,few students,none,none,none,none,no students,no students,11,3,4,4,0,2.76614987080103,0.0594315245478034,2.85615848406546,1.0947459086994,-1.24418604651163,2.5,0.39405684754522
362,suburb,southeast,100+,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,none,some languages,some languages,no students,few students,10.5,3,2,4,1.5,2.26614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.255813953488372,2.5,0.39405684754522
363,town,southeast,1-10,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no students,no students,none,none,none,none,no students,no students,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
364,town,southeast,1-10,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,9,3,2,4,0,0.766149870801034,0.0594315245478034,0.856158484065461,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
365,suburb,central,11-100,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,some languages,some languages,no students,few students,7,4,0,2,1,-1.23385012919897,1.0594315245478,-1.14384151593454,-0.905254091300603,-0.244186046511628,3,0.89405684754522
366,suburb,northeast,11-100,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
367,rural,southeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
368,rural,central,11-100,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,3,3,0,0,0,-5.23385012919897,0.0594315245478034,-1.14384151593454,-2.9052540913006,-1.24418604651163,2,-0.10594315245478
